0;22;21
0;1;22
1;23;22
1;2;23
2;24;23
2;3;24
3;25;24
3;4;25
4;26;25
4;5;26
5;27;26
5;6;27
6;28;27
6;7;28
7;29;28
7;8;29
8;30;29
8;9;30
9;31;30
9;10;31
10;32;31
10;11;32
11;33;32
11;12;33
12;34;33
12;13;34
13;35;34
13;14;35
14;36;35
14;15;36
15;37;36
15;16;37
16;38;37
16;17;38
17;39;38
17;18;39
18;40;39
18;19;40
19;41;40
19;20;41
21;43;42
21;22;43
22;44;43
22;23;44
23;45;44
23;24;45
24;46;45
24;25;46
25;47;46
25;26;47
26;48;47
26;27;48
27;49;48
27;28;49
28;50;49
28;29;50
29;51;50
29;30;51
30;52;51
30;31;52
31;53;52
31;32;53
32;54;53
32;33;54
33;55;54
33;34;55
34;56;55
34;35;56
35;57;56
35;36;57
36;58;57
36;37;58
37;59;58
37;38;59
38;60;59
38;39;60
39;61;60
39;40;61
40;62;61
40;41;62
42;64;63
42;43;64
43;65;64
43;44;65
44;66;65
44;45;66
45;67;66
45;46;67
46;68;67
46;47;68
47;69;68
47;48;69
48;70;69
48;49;70
49;71;70
49;50;71
50;72;71
50;51;72
51;73;72
51;52;73
52;74;73
52;53;74
53;75;74
53;54;75
54;76;75
54;55;76
55;77;76
55;56;77
56;78;77
56;57;78
57;79;78
57;58;79
58;80;79
58;59;80
59;81;80
59;60;81
60;82;81
60;61;82
61;83;82
61;62;83
63;85;84
63;64;85
64;86;85
64;65;86
65;87;86
65;66;87
66;88;87
66;67;88
67;89;88
67;68;89
68;90;89
68;69;90
69;91;90
69;70;91
70;92;91
70;71;92
71;93;92
71;72;93
72;94;93
72;73;94
73;95;94
73;74;95
74;96;95
74;75;96
75;97;96
75;76;97
76;98;97
76;77;98
77;99;98
77;78;99
78;100;99
78;79;100
79;101;100
79;80;101
80;102;101
80;81;102
81;103;102
81;82;103
82;104;103
82;83;104
84;106;105
84;85;106
85;107;106
85;86;107
86;108;107
86;87;108
87;109;108
87;88;109
88;110;109
88;89;110
89;111;110
89;90;111
90;112;111
90;91;112
91;113;112
91;92;113
92;114;113
92;93;114
93;115;114
93;94;115
94;116;115
94;95;116
95;117;116
95;96;117
96;118;117
96;97;118
97;119;118
97;98;119
98;120;119
98;99;120
99;121;120
99;100;121
100;122;121
100;101;122
101;123;122
101;102;123
102;124;123
102;103;124
103;125;124
103;104;125
105;127;126
105;106;127
106;128;127
106;107;128
107;129;128
107;108;129
108;130;129
108;109;130
109;131;130
109;110;131
110;132;131
110;111;132
111;133;132
111;112;133
112;134;133
112;113;134
113;135;134
113;114;135
114;136;135
114;115;136
115;137;136
115;116;137
116;138;137
116;117;138
117;139;138
117;118;139
118;140;139
118;119;140
119;141;140
119;120;141
120;142;141
120;121;142
121;143;142
121;122;143
122;144;143
122;123;144
123;145;144
123;124;145
124;146;145
124;125;146
126;148;147
126;127;148
127;149;148
127;128;149
128;150;149
128;129;150
129;151;150
129;130;151
130;152;151
130;131;152
131;153;152
131;132;153
132;154;153
132;133;154
133;155;154
133;134;155
134;156;155
134;135;156
135;157;156
135;136;157
136;158;157
136;137;158
137;159;158
137;138;159
138;160;159
138;139;160
139;161;160
139;140;161
140;162;161
140;141;162
141;163;162
141;142;163
142;164;163
142;143;164
143;165;164
143;144;165
144;166;165
144;145;166
145;167;166
145;146;167
147;169;168
147;148;169
148;170;169
148;149;170
149;171;170
149;150;171
150;172;171
150;151;172
151;173;172
151;152;173
152;174;173
152;153;174
153;175;174
153;154;175
154;176;175
154;155;176
155;177;176
155;156;177
156;178;177
156;157;178
157;179;178
157;158;179
158;180;179
158;159;180
159;181;180
159;160;181
160;182;181
160;161;182
161;183;182
161;162;183
162;184;183
162;163;184
163;185;184
163;164;185
164;186;185
164;165;186
165;187;186
165;166;187
166;188;187
166;167;188
168;190;189
168;169;190
169;191;190
169;170;191
170;192;191
170;171;192
171;193;192
171;172;193
172;194;193
172;173;194
173;195;194
173;174;195
174;196;195
174;175;196
175;197;196
175;176;197
176;198;197
176;177;198
177;199;198
177;178;199
178;200;199
178;179;200
179;201;200
179;180;201
180;202;201
180;181;202
181;203;202
181;182;203
182;204;203
182;183;204
183;205;204
183;184;205
184;206;205
184;185;206
185;207;206
185;186;207
186;208;207
186;187;208
187;209;208
187;188;209
189;211;210
189;190;211
190;212;211
190;191;212
191;213;212
191;192;213
192;214;213
192;193;214
193;215;214
193;194;215
194;216;215
194;195;216
195;217;216
195;196;217
196;218;217
196;197;218
197;219;218
197;198;219
198;220;219
198;199;220
199;221;220
199;200;221
200;222;221
200;201;222
201;223;222
201;202;223
202;224;223
202;203;224
203;225;224
203;204;225
204;226;225
204;205;226
205;227;226
205;206;227
206;228;227
206;207;228
207;229;228
207;208;229
208;230;229
208;209;230
210;232;231
210;211;232
211;233;232
211;212;233
212;234;233
212;213;234
213;235;234
213;214;235
214;236;235
214;215;236
215;237;236
215;216;237
216;238;237
216;217;238
217;239;238
217;218;239
218;240;239
218;219;240
219;241;240
219;220;241
220;242;241
220;221;242
221;243;242
221;222;243
222;244;243
222;223;244
223;245;244
223;224;245
224;246;245
224;225;246
225;247;246
225;226;247
226;248;247
226;227;248
227;249;248
227;228;249
228;250;249
228;229;250
229;251;250
229;230;251
231;253;252
231;232;253
232;254;253
232;233;254
233;255;254
233;234;255
234;256;255
234;235;256
235;257;256
235;236;257
236;258;257
236;237;258
237;259;258
237;238;259
238;260;259
238;239;260
239;261;260
239;240;261
240;262;261
240;241;262
241;263;262
241;242;263
242;264;263
242;243;264
243;265;264
243;244;265
244;266;265
244;245;266
245;267;266
245;246;267
246;268;267
246;247;268
247;269;268
247;248;269
248;270;269
248;249;270
249;271;270
249;250;271
250;272;271
250;251;272
252;274;273
252;253;274
253;275;274
253;254;275
254;276;275
254;255;276
255;277;276
255;256;277
256;278;277
256;257;278
257;279;278
257;258;279
258;280;279
258;259;280
259;281;280
259;260;281
260;282;281
260;261;282
261;283;282
261;262;283
262;284;283
262;263;284
263;285;284
263;264;285
264;286;285
264;265;286
265;287;286
265;266;287
266;288;287
266;267;288
267;289;288
267;268;289
268;290;289
268;269;290
269;291;290
269;270;291
270;292;291
270;271;292
271;293;292
271;272;293
273;295;294
273;274;295
274;296;295
274;275;296
275;297;296
275;276;297
276;298;297
276;277;298
277;299;298
277;278;299
278;300;299
278;279;300
279;301;300
279;280;301
280;302;301
280;281;302
281;303;302
281;282;303
282;304;303
282;283;304
283;305;304
283;284;305
284;306;305
284;285;306
285;307;306
285;286;307
286;308;307
286;287;308
287;309;308
287;288;309
288;310;309
288;289;310
289;311;310
289;290;311
290;312;311
290;291;312
291;313;312
291;292;313
292;314;313
292;293;314
294;316;315
294;295;316
295;317;316
295;296;317
296;318;317
296;297;318
297;319;318
297;298;319
298;320;319
298;299;320
299;321;320
299;300;321
300;322;321
300;301;322
301;323;322
301;302;323
302;324;323
302;303;324
303;325;324
303;304;325
304;326;325
304;305;326
305;327;326
305;306;327
306;328;327
306;307;328
307;329;328
307;308;329
308;330;329
308;309;330
309;331;330
309;310;331
310;332;331
310;311;332
311;333;332
311;312;333
312;334;333
312;313;334
